10/27/2017 16:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC780-50U-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
105,2,3.502,0.541,3.465,0.541,3.503,0.538,3.446,0.522,,,,,,,,,,,,,,,,,,,,,,,,
105,3,3.485,0.541,3.446,0.541,3.486,0.538,3.429,0.522,,,,,,,,,,,,,,,,,,,,,,,,
105,4,3.466,0.541,3.433,0.539,3.469,0.537,3.41,0.522,,,,,,,,,,,,,,,,,,,,,,,,
105,5,3.448,0.54,3.414,0.54,3.452,0.538,3.39,0.521,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2017 19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC780-50U-P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
125,0,3.514,0.543,3.463,0.545,3.514,0.541,3.457,0.518,,,,,,,,,,,,,,,,,,,,,,,,
125,1,3.49,0.544,3.439,0.544,3.492,0.54,3.432,0.518,,,,,,,,,,,,,,,,,,,,,,,,
125,2,3.473,0.542,3.42,0.546,3.472,0.54,3.409,0.519,,,,,,,,,,,,,,,,,,,,,,,,
125,3,3.452,0.543,3.4,0.544,3.451,0.54,3.384,0.518,,,,,,,,,,,,,,,,,,,,,,,,
125,4,3.427,0.542,3.38,0.544,3.43,0.54,3.362,0.517,,,,,,,,,,,,,,,,,,,,,,,,
125,5,3.408,0.542,3.362,0.544,3.411,0.539,3.34,0.518,,,,,,,,,,,,,,,,,,,,,,,,
