11/27/2017 12:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YuEn-Sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IP = 50A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15
105,2,2.682,2.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,3,2.681,2.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,4,2.679,2.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,5,2.678,2.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,6,2.677,2.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,7,2.675,2.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,8,2.674,2.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,9,2.673,2.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2017 3:17:49 PM
YuEn-Sample
IP = 50A
Temp,TC,VIP-0,V0A-0,VIP-1,V0A-1,VIP-2,V0A-2,VIP-3,V0A-3,VIP-4,V0A-4,VIP-5,V0A-5,VIP-6,V0A-6,VIP-7,V0A-7,VIP-8,V0A-8,VIP-9,V0A-9,VIP-10,V0A-10,VIP-11,V0A-11,VIP-12,V0A-12,VIP-13,V0A-13,VIP-14,V0A-14,VIP-15,V0A-15,
65,00,2.685,2.496,
65,01,2.684,2.496,
65,02,2.682,2.496,
65,03,2.680,2.495,
65,04,2.678,2.496,
65,05,2.678,2.495,
65,06,2.677,2.495,
65,07,2.675,2.495,
65,08,2.674,2.495,
65,09,2.672,2.495,
